date,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT04,WT06,WT08
2015-01-01,-122.0,10183.0,10132.0,-33.0,3.2,0.0,38.0,28.0,47.0,0.0,0.0,3.9,-2.7,260.0,250.0,7.6,13.9,,,,,
2015-01-02,-83.0,10234.0,10183.0,-6.0,3.2,0.0,41.0,33.0,54.0,0.0,0.0,5.6,1.7,260.0,310.0,6.7,11.2,,,,,
2015-01-03,-33.0,10305.0,10244.0,6.0,2.9,18.0,71.0,46.0,93.0,0.0,0.0,5.6,0.6,80.0,70.0,5.4,8.1,1.0,,,,1.0
2015-01-04,67.0,10098.0,10064.0,78.0,2.9,7.6,85.0,41.0,96.0,0.0,0.0,13.3,5.0,280.0,260.0,13.0,20.6,1.0,,,,
2015-01-05,-122.0,10200.0,10152.0,-22.0,4.7,0.0,36.0,25.0,49.0,0.0,0.0,9.4,-6.0,280.0,300.0,10.7,17.0,,,,,
2015-01-06,-139.0,10237.0,10196.0,-83.0,1.8,1.3,60.0,34.0,78.0,25.0,0.0,-5.5,-7.1,320.0,280.0,6.3,10.7,,,,,1.0
2015-01-07,-172.0,10173.0,10122.0,-94.0,5.7,0.0,46.0,25.0,68.0,0.0,30.0,-4.9,-12.7,310.0,300.0,9.8,17.4,,,,,
2015-01-08,-194.0,10274.0,10224.0,-117.0,3.9,0.0,44.0,37.0,51.0,0.0,0.0,-6.0,-13.2,310.0,310.0,8.1,13.9,,,,,
2015-01-09,-128.0,10183.0,10125.0,-56.0,3.9,1.8,48.0,35.0,78.0,38.0,0.0,0.6,-7.1,280.0,290.0,9.4,13.4,,,,,1.0
2015-01-10,-178.0,10308.0,10257.0,-94.0,3.6,0.0,40.0,33.0,45.0,0.0,30.0,-4.9,-8.8,250.0,230.0,8.1,11.2,,,,,
2015-01-11,-144.0,10356.0,10305.0,-50.0,2.7,0.0,36.0,31.0,43.0,0.0,30.0,2.8,-7.7,230.0,250.0,6.3,10.7,,,,,
2015-01-12,-22.0,10244.0,10179.0,11.0,1.7,9.1,74.0,37.0,89.0,0.0,0.0,3.9,1.7,260.0,260.0,5.4,8.9,1.0,,1.0,,
2015-01-13,-117.0,10332.0,10271.0,-56.0,3.8,0.0,54.0,40.0,82.0,0.0,0.0,2.2,-8.2,30.0,40.0,8.1,11.2,,,,,
2015-01-14,-106.0,10281.0,10234.0,-56.0,2.8,0.0,60.0,51.0,66.0,0.0,0.0,0.0,-8.8,70.0,80.0,6.3,7.6,,,,,
2015-01-15,-89.0,10179.0,10129.0,-39.0,2.1,0.0,55.0,42.0,69.0,0.0,0.0,1.7,-3.8,250.0,290.0,6.7,8.9,,,,,
2015-01-16,-111.0,10135.0,10088.0,-33.0,4.4,0.0,44.0,32.0,56.0,0.0,0.0,6.1,-6.6,310.0,320.0,9.4,14.3,,,,,1.0
2015-01-17,-150.0,10268.0,10217.0,-72.0,2.7,0.0,44.0,27.0,61.0,0.0,0.0,0.0,-8.2,310.0,190.0,6.3,10.3,,,,,
2015-01-18,0.0,10132.0,10064.0,17.0,1.7,53.3,84.0,61.0,93.0,0.0,0.0,5.6,-0.5,270.0,210.0,4.5,8.9,1.0,1.0,,,
2015-01-19,-39.0,10095.0,10044.0,11.0,3.4,0.0,58.0,43.0,79.0,0.0,0.0,5.6,2.2,290.0,270.0,7.2,14.8,,,,,
2015-01-20,-78.0,10135.0,10085.0,-11.0,2.6,0.0,47.0,36.0,57.0,0.0,0.0,4.4,0.0,290.0,280.0,5.8,8.9,,,,,
2015-01-21,-128.0,10203.0,10146.0,-39.0,1.9,0.0,40.0,26.0,51.0,0.0,0.0,2.2,-3.8,350.0,20.0,4.5,6.7,,,,,
2015-01-22,-72.0,10237.0,10179.0,-17.0,2.5,0.0,55.0,45.0,67.0,0.0,0.0,4.4,-0.5,310.0,300.0,6.3,9.8,,,,,1.0
2015-01-23,-83.0,10227.0,10179.0,-22.0,2.5,0.0,52.0,41.0,62.0,0.0,0.0,3.9,-2.1,250.0,250.0,6.3,8.5,,,,,
2015-01-24,-17.0,9997.0,9959.0,6.0,2.7,18.3,80.0,52.0,89.0,91.0,80.0,3.9,0.6,290.0,290.0,6.3,10.7,1.0,,,,1.0
2015-01-25,-83.0,10078.0,10027.0,-11.0,2.8,0.0,46.0,28.0,67.0,0.0,50.0,5.6,-0.5,250.0,260.0,7.6,13.4,,,,,
2015-01-26,-94.0,10125.0,10071.0,-56.0,5.7,12.2,68.0,35.0,85.0,140.0,50.0,-0.5,-5.5,60.0,50.0,10.3,15.2,1.0,1.0,,,1.0
2015-01-27,-100.0,10058.0,10003.0,-61.0,3.7,9.1,65.0,50.0,84.0,109.0,200.0,-1.0,-6.6,10.0,330.0,7.6,13.4,1.0,1.0,,,1.0
2015-01-28,-167.0,10179.0,10129.0,-72.0,3.4,0.0,38.0,29.0,59.0,0.0,200.0,1.1,-8.8,310.0,310.0,7.2,10.7,,,,,
2015-01-29,-111.0,10227.0,10169.0,-50.0,1.7,0.5,52.0,35.0,82.0,0.0,150.0,2.2,-7.1,190.0,180.0,6.3,8.9,,,,,
2015-01-30,-72.0,10122.0,10071.0,-28.0,4.7,1.5,60.0,42.0,85.0,25.0,180.0,3.3,-7.1,310.0,300.0,9.8,16.1,1.0,,,,1.0
2015-01-31,-178.0,10200.0,10142.0,-94.0,5.5,0.0,41.0,28.0,52.0,0.0,180.0,-3.2,-10.5,310.0,290.0,10.7,19.7,,,,,
2015-02-01,,,,,1.7,0.8,,,,8.0,150.0,2.2,-6.6,250.0,260.0,5.4,7.6,1.0,,,,1.0
2015-02-02,,,,,4.4,25.9,,,,127.0,180.0,1.1,-9.9,70.0,310.0,9.8,14.3,1.0,1.0,,1.0,1.0
2015-02-03,,,,,3.2,0.0,,,,0.0,200.0,-3.2,-10.5,310.0,310.0,7.6,12.1,,,,,
2015-02-04,,,,,1.9,0.0,,,,0.0,200.0,6.1,-4.3,260.0,250.0,5.8,8.5,,,,,
2015-02-05,,,,,3.8,0.0,,,,0.0,200.0,5.6,-9.9,360.0,310.0,8.9,13.4,,,,,
2015-02-06,,,,,3.2,0.0,,,,0.0,200.0,-2.7,-11.0,270.0,240.0,7.6,11.6,,,,,
2015-02-07,,,,,1.7,0.5,,,,0.0,200.0,4.4,-3.8,260.0,250.0,5.4,8.1,,,,,1.0
2015-02-08,,,,,3.8,0.0,,,,0.0,200.0,2.8,-1.6,70.0,60.0,8.1,11.6,1.0,,,,1.0
2015-02-09,,,,,4.9,2.3,,,,0.0,200.0,-1.6,-3.8,60.0,50.0,8.9,13.0,,,,,1.0
2015-02-10,,,,,4.7,0.3,,,,3.0,200.0,4.4,-3.2,30.0,30.0,8.1,12.5,,,,,1.0
2015-02-11,,,,,2.9,0.0,,,,0.0,200.0,1.1,-5.5,50.0,60.0,8.1,11.6,,,,,
2015-02-12,,,,,3.3,0.0,,,,0.0,200.0,4.4,-8.8,310.0,320.0,9.8,17.4,,,,,1.0
2015-02-13,,,,,4.1,0.0,,,,0.0,200.0,-6.0,-13.2,310.0,300.0,9.8,16.5,,,,,
2015-02-14,,,,,2.4,0.5,,,,23.0,200.0,0.0,-8.8,10.0,250.0,6.3,10.3,,,,,1.0
2015-02-15,,,,,6.5,0.0,,,,0.0,230.0,-3.8,-15.5,300.0,310.0,10.3,18.8,,,,,1.0
2015-02-16,,,,,3.1,0.0,,,,0.0,230.0,-6.0,-16.0,310.0,320.0,9.4,16.5,,,,,
2015-02-17,,,,,2.1,3.6,,,,84.0,300.0,-2.7,-9.9,50.0,30.0,5.4,7.2,,,,,1.0
2015-02-18,,,,,1.9,0.0,,,,0.0,230.0,0.6,-7.1,250.0,260.0,6.7,9.4,,,,,1.0
2015-02-19,,,,,5.1,0.0,,,,0.0,230.0,-2.7,-13.2,280.0,280.0,8.9,13.9,,,,,
2015-02-20,,,,,4.6,0.0,,,,0.0,230.0,-7.1,-16.6,290.0,290.0,9.8,16.1,,,,,
2015-02-21,,,,,2.0,15.5,,,,76.0,230.0,0.0,-10.5,200.0,180.0,6.3,10.3,1.0,,,1.0,1.0
2015-02-22,,,,,1.3,2.5,,,,25.0,330.0,6.1,0.0,290.0,280.0,5.4,7.6,1.0,,,1.0,1.0
2015-02-23,,,,,5.0,0.0,,,,0.0,300.0,3.3,-13.2,310.0,320.0,7.6,13.0,,,,,
2015-02-24,,,,,2.6,0.0,,,,0.0,300.0,-4.3,-15.5,170.0,180.0,6.3,10.3,,,,,
2015-02-25,,,,,2.9,0.0,,,,0.0,300.0,2.8,-6.6,280.0,280.0,6.7,10.7,,,,,
2015-02-26,,,,,3.2,0.0,,,,0.0,280.0,0.0,-6.0,50.0,50.0,6.7,8.9,,,,,1.0
2015-02-27,,,,,2.7,0.0,,,,0.0,280.0,-1.0,-7.7,310.0,300.0,5.8,8.9,,,,,
2015-02-28,,,,,1.6,0.0,,,,0.0,280.0,-1.6,-10.5,350.0,350.0,5.4,8.1,,,,,
2015-03-01,-117.0,10325.0,10251.0,-50.0,1.0,13.2,56.0,29.0,85.0,122.0,250.0,-0.5,-4.3,170.0,170.0,6.7,8.9,1.0,1.0,,,1.0
2015-03-02,-89.0,10213.0,10156.0,-22.0,3.6,0.0,52.0,33.0,81.0,0.0,380.0,3.9,-2.7,310.0,300.0,8.1,15.2,,,,,1.0
2015-03-03,-89.0,10244.0,10176.0,-39.0,2.2,17.0,61.0,39.0,86.0,46.0,360.0,2.8,-5.5,240.0,250.0,6.3,10.7,1.0,,,1.0,1.0
2015-03-04,17.0,10105.0,10054.0,33.0,2.7,6.4,82.0,71.0,89.0,0.0,330.0,7.2,1.7,250.0,250.0,6.7,11.2,1.0,,,,1.0
2015-03-05,-61.0,10203.0,10146.0,-44.0,2.6,19.3,81.0,49.0,96.0,191.0,330.0,4.4,-7.1,310.0,300.0,6.3,8.9,1.0,1.0,,,1.0
